名次,学校名称,所在地区,类型,总分,科学研究,人才培养,综合声誉,办学类型,星级排名,办学层次
1,北京大学,北京,综合,100,100,100,100,中国研究型,6星级,中国顶尖大学
2,清华大学,北京,理工,97.8,98.71,96.61,99.26,中国研究型,6星级,中国顶尖大学
3,上海交通大学,上海,综合,81.08,85.89,78.26,73.66,中国研究型,5星级,中国一流大学
4,复旦大学,上海,综合,80.92,81.54,81.44,76.23,中国研究型,5星级,中国一流大学
5,武汉大学,湖北,综合,80.72,82.83,79.41,77.86,中国研究型,5星级,中国一流大学
6,浙江大学,浙江,综合,80.45,83.41,78.34,77.54,中国研究型,5星级,中国一流大学
7,中国人民大学,北京,综合,78.71,74.99,81.16,83.38,中国研究型,6星级,中国顶尖大学
8,南京大学,江苏,综合,78.3,78.29,78.8,76.14,中国研究型,5星级,中国一流大学
9,吉林大学,吉林,综合,76.03,77.15,76.37,69.97,中国研究型,5星级,中国一流大学
10,中山大学,广东,综合,75.33,77.28,73.87,73.72,中国研究型,5星级,中国一流大学
11,北京师范大学,北京,师范,74.35,74.66,74.34,73.11,中国研究型,5星级,中国一流大学
12,华中科技大学,湖北,理工,74.27,75.99,73.16,72.01,中国研究型,5星级,中国一流大学
13,四川大学,四川,综合,74.05,75.42,73.48,70.92,中国研究型,5星级,中国一流大学
14,中国科学技术大学,安徽,理工,72.98,74.17,72.47,70.41,中国研究型,5星级,中国一流大学
14,中国传媒大学,安徽,理工,72.98,74.17,72.47,70.41,中国研究型,5星级,中国一流大学
14,国防科技大学,安徽,理工,72.98,74.17,72.47,70.41,中国研究型,5星级,中国一流大学
15,南开大学,天津,综合,72.67,72.79,72.86,71.35,中国研究型,5星级,中国一流大学
16,山东大学,山东,综合,72.58,72.57,72.92,71.14,中国研究型,5星级,中国一流大学
17,中南大学,湖南,综合,72.28,73.2,71.6,71.53,中国研究型,5星级,中国一流大学
18,西安交通大学,陕西,综合,72.13,72.28,72.43,70.25,中国研究型,5星级,中国一流大学
