id,name,hot,high
1,艺术设计,1,1
2,工程管理,1,1
3,全科医学,1,1
4,城市规划,1,1
5,档案学,0,1
6,生物医学工程,0,1
7,美术学,1,1
8,音乐学,1,0
9,艺术学,0,1
10,护理学,1,0
11,中药学,1,0
12,药学,1,0
13,药剂学,1,0
14,中西医结合,0,1
15,中医学,1,1
16,口腔医学,1,0
17,临床医学,1,1
18,公共管理,1,1
19,行政管理,1,1
20,土地资源管理,0,1
21,农林经济管理,1,0
22,工商管理,1,1
23,会计学,1,0
24,企业管理,1,1
25,旅游管理,1,0
26,管理科学与工程,1,1
27,保险,1,1
28,国际商务,1,0
29,税务,1,0
30,金融,0,1
31,社会工作,1,0
32,法律,1,1
33,运动训练,1,1
34,小学教育,1,0
35,学前教育,1,0
36,安全工程,1,1
37,环境工程,1,1
38,车辆工程,1,1
39,制药工程,1,0
40,工业工程,1,1
41,生物工程,1,0
42,项目管理,1,1
43,物流工程,0,1
44,机械工程,0,1
45,冶金工程,1,0
46,软件工程,1,1
47,建筑学,1,1
48,测绘工程,1,0
49,地质工程,0,1
50,纺织工程,1,0
51,船舶与海洋工程,1,1
52,会计,1,0
53,新闻学,1,1
54,传播学,1,1
55,统计学,1,0
56,哲学,0,1
57,财政学,1,0
58,金融学,1,1
59,思想政治教育,1,0
60,社会学,1,1
61,法学,1,1
62,心理学,1,1
63,应用心理学,1,0
64,教育学,1,1
65,教育技术学,1,1
66,环境科学,1,0
67,计算机科学与技术,1,1
68,计算机应用技术,1,1
69,电子科学与技术,1,1
70,材料科学与工程,1,1
71,工程力学,1,1
72,生态学,0,1
73,生物化学与分子生物学,0,1
74,地质学,1,1
75,化学,1,0
76,物理学,1,1
77,食品科学与工程,1,0
78,轮机工程,1,1
79,服装设计与工程,1,1
80,采矿工程,1,1
81,矿物加工工程,0,1
82,应用化学,1,0
83,水利水电工程,1,0
84,土木工程,1,1
85,机械制造及其自动化,0,1
86,机械电子工程,1,1
87,植物保护,1,0
88,经济学,1,1
89,金融工程,0,1
90,投资学,1,0
91,国际经济与贸易,1,1
92,贸易经济,1,1
93,政治学与行政学,0,1
94,艺术教育,1,0
95,体育教育,1,1
96,汉语言文学,1,0
97,英语,1,0
98,俄语,1,1
99,德语,0,1
100,法语,0,1
101,西班牙语,0,1
102,日语,1,0
103,朝鲜语,1,0
104,商务英语,1,0
105,广告学,1,1
106,历史学,1,0
107,数学与应用数学,1,1
108,信息与计算科学,1,1
109,应用物理学,1,1
110,生物科学,1,0
111,生物技术,1,0
112,机械设计制造及其自动化,1,1
113,材料成型及控制工程,1,1
114,工业设计,1,1
115,过程装备与控制工程,1,1
116,测控技术与仪器,1,1
117,材料物理,0,1
118,材料化学,1,0
119,金属材料工程,1,1
120,无机非金属材料工程,1,1
121,高分子材料与工程,0,1
122,电气工程及其自动化,1,1
123,电子信息工程,1,1
124,通信工程,1,1
125,信息工程,1,1
126,自动化,1,1
127,网络工程,1,1
128,信息安全,1,1
129,物联网工程,0,1
130,数字媒体技术,1,1
131,化学工程与工艺,1,0
132,勘查技术与工程,0,1
133,资源勘查工程,0,1
134,石油工程,1,1
135,轻化工程,1,1
136,包装工程,0,1
137,交通运输,1,0
138,交通工程,1,1
139,航海技术,1,1
140,农业机械化及其自动化,0,1
141,木材科学与工程,0,1
142,农学,1,0
143,园艺,1,0
144,动物科学,1,0
145,动物医学,1,0
146,园林,1,0
147,预防医学,0,1
148,中西医临床医学,0,1
149,管理科学,1,1
150,信息管理与信息系统,1,1
151,工程造价,1,0
152,市场营销,1,1
153,财务管理,1,0
154,人力资源管理,1,0
155,审计学,1,0
156,物业管理,1,0
157,文化产业管理,1,0
158,公共事业管理,1,0
159,劳动与社会保障,1,0
160,物流管理,1,0
161,电子商务,1,0
162,酒店管理,1,0
163,会展经济与管理,1,0
164,音乐表演,1,0
165,表演,0,1
166,戏剧影视文学,0,1
167,广播电视编导,1,0
168,戏剧影视美术设计,0,1
169,播音与主持艺术,1,1
170,动画,1,1
171,绘画,1,1
172,雕塑,0,1
173,摄影,1,1
174,艺术设计学,1,1
175,视觉传达设计,0,1
176,数字媒体艺术,1,1
177,国民经济管理,1,1
178,分子科学与工程,0,1
179,集成电路设计与集成系统,0,1
180,电子信息科学与技术,1,1
181,公共关系学,1,1
182,电子商务及法律,0,1
183,建筑设计,0,1
184,建筑工程技术,1,0
185,数控技术,1,0
186,模具设计与制造,1,0
187,应用电子技术,1,0
188,计算机网络技术,1,0
189,计算机信息管理,1,1
190,软件技术,1,1
191,通信技术,1,0
192,金融管理,0,1
193,国际金融,0,1
194,经济信息管理,0,1
195,报关与国际货运,1,0
196,工商企业管理,1,1
197,商务管理,1,1
198,连锁经营管理,1,0
199,广告设计与制作,1,0
200,环境艺术设计,1,1
201,影视动画,0,1
202,英语教育,1,0
203,音乐教育,0,1
204,美术教育,0,1
205,文秘,1,0
206,社会体育,1,1
207,unknown,0,0
