degree_code,school_code,major_code,_other,_zhuan,_ben,_2_first_rate,_211,_c9,_top_2,_985,province_code,salary_min,salary_max,zhimeli_min,zhimeli_max
2.0,1464.0,1703.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,17078.473,28462.225,79.39260999999999,79.89789
1.0,1447.0,878.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,4269.067,6402.0,46.7697,39.987732
1.0,413.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,8001.0,10000.0,71.05524,65.308525
1.0,2130.0,257.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,2001.0,4000.0,12.761388,13.652714999999999
2.0,2596.0,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4860.2856,7288.6064,53.046078,48.264934999999994
2.0,1503.0,1703.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4001.0,6000.0,43.508666999999996,35.8139
1.0,2471.0,856.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,33.0,2952.797,5902.643,28.305944,34.769529999999996
1.0,1322.0,865.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,7778.2393,10369.258,70.34995,66.81563
1.0,773.0,944.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,4860.2856,7288.6064,53.046078,48.264934999999994
2.0,2075.0,311.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,4269.067,6402.0,46.7697,39.987732
12.0,2476.0,257.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,3150.6345,6298.12,31.441961,38.931999999999995
2.0,2485.0,407.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,2430.7502,4859.0713,19.715342,23.071173
1.0,10.0,1703.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31.0,7652.6655,11476.13,69.92605999999999,70.48036
2.0,817.0,1377.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5185.925,7776.9434,56.00121,52.229725
1.0,1845.0,1703.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,7652.6655,11476.13,69.92605999999999,70.48036
1.0,661.0,160.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33.0,10370.554,12961.572,75.88646,73.84749000000001
2.0,2596.0,747.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3361.7270000000003,6720.0938,34.667316,43.11275
1.0,1302.0,160.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2593.6106,5184.629,22.418398,26.77695
2.0,2439.0,310.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2767.3826,5531.999,25.289295000000003,30.695845000000002
1.0,1984.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,6832.0723,9107.912,66.612656,60.955975
2.0,2596.0,1703.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6429.936,12853.445,64.5807,73.64956
1.0,281.0,1703.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,3586.9626,7170.3403,37.949184,47.240359999999995
1.0,1449.0,764.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,6001.0,8000.0,62.05191,53.899525
1.0,1478.0,424.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,2430.7502,4859.0713,19.715342,23.071173
2.0,846.0,853.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2593.6106,5184.629,22.418398,26.77695
1.0,2596.0,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2135.067,4268.0,14.877022,16.479338000000002
3.0,2596.0,1703.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2952.797,5902.643,28.305944,34.769529999999996
2.0,2596.0,840.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8537.067,10670.0,72.53371,67.93066400000001
1.0,2596.0,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,8712.476,13065.447,72.957954,74.03169
1.0,30.0,289.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,31.0,10001.0,15000.0,75.373985,76.59425
1.0,1845.0,159.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,2430.7502,4859.0713,19.715342,23.071173
4.0,2596.0,1703.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5293.14,10580.989,56.902331999999994,67.61066
2.0,1404.0,1703.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6299.6943,9447.18,63.854843,62.738277000000004
1.0,2596.0,734.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4860.2856,7288.6064,53.046078,48.264934999999994
1.0,2170.0,840.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,2767.3826,5531.999,25.289295000000003,30.695845000000002
1.0,29.0,837.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,7652.6655,11476.13,69.92605999999999,70.48036
1.0,2596.0,407.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11478.042,15301.506000000001,77.082954,76.876144
2.0,863.0,747.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2430.7502,4859.0713,19.715342,23.071173
1.0,1834.0,842.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33.0,2430.7502,4859.0713,19.715342,23.071173
1.0,760.0,363.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,2001.0,4000.0,12.761388,13.652714999999999
1.0,752.0,407.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,6001.0,8000.0,62.05191,53.899525
1.0,425.0,1703.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,9296.212,13940.832,74.190765,75.37581
