degree_code,school_code,major_code,_other,_zhuan,_ben,_2_first_rate,_211,_c9,_top_2,_985,province_code,salary_min,salary_max,zhimeli_min,zhimeli_max,major_high,major_hot,degree_w,city_w,area_w,city
2.0,127.0,852.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2278.1165,4553.956,10.235564,11.374878,0.0,1.0,2.0,3.0,3.0,天津市
12.0,729.0,546.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,9719.356,12147.678,74.57574,71.64962,1.0,0.0,4.0,1.0,3.0,扬州市
1.0,2596.0,1703.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2593.6106,5184.629,14.699994,17.821838,0.0,0.0,3.0,3.0,3.0,北京市
2.0,1023.0,162.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,9719.356,12147.678,74.57574,71.64962,0.0,1.0,2.0,3.0,3.0,南京市
1.0,726.0,1703.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,31.0,5185.925,7776.9434,51.0733,46.309845,0.0,0.0,3.0,3.0,3.0,北京市
2.0,2398.0,1636.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,4555.0947,6830.934,43.796406,36.538353,0.0,0.0,2.0,3.0,3.0,北京市
2.0,1753.0,1703.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4269.067,6402.0,40.055428000000006,31.716796999999996,0.0,0.0,2.0,3.0,3.0,广州市
2.0,137.0,1703.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6403.066999999999,8536.0,61.535877,53.018795,0.0,0.0,2.0,3.0,3.0,天津市
2.0,2596.0,1703.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12148.893,18221.516,77.68477,78.94014,0.0,0.0,2.0,1.0,3.0,广东省
1.0,1999.0,635.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,8537.067,10670.0,71.655045,66.30119,0.0,1.0,3.0,1.0,3.0,宁波市
