id,name,center,east,middle,west
1,重庆市,重庆市,0,0,1
2,西藏自治区,西藏,0,0,1
3,宁夏回族自治区,银川市,0,0,1
4,贵州省,贵阳市,0,0,1
5,海南省,海口市,3,0,0
6,青海省,西宁市,0,0,1
7,新疆维吾尔自治区,乌鲁木齐市,0,0,1
8,吉林省,长春市,0,2,0
9,内蒙古自治区,呼和浩特市,0,2,0
10,甘肃省,兰州市,0,0,1
11,陕西省,西安市,0,0,1
12,广西壮族自治区,南宁市,3,0,0
13,云南省,昆明市,0,0,1
14,江西省,南昌市,0,2,0
15,黑龙江省,哈尔滨市,0,2,0
16,山西省,太原市,0,2,0
17,湖南省,长沙市,0,2,0
18,河南省,郑州市,0,2,0
19,河北省,石家庄市,3,0,0
20,安徽省,合肥市,0,2,0
21,福建省,福州市,3,0,0
22,天津市,天津市,3,0,0
23,山东省,济南市,3,0,0
24,辽宁省,沈阳市,3,0,0
25,湖北省,武汉市,0,2,0
26,江苏省,南京市,3,0,0
27,四川省,成都市,0,0,1
28,浙江省,杭州市,3,0,0
29,上海市,上海市,3,0,0
30,广东省,广州市,3,0,0
31,北京市,北京市,3,0,0
32,台湾省,台北市,3,0,0
33,unknown,unknown,0,0,1
34,香港,香港,3,0,0
35,澳门,澳门,3,0,0
