sid,name,_other,_zhuan,_ben,_2_first_rate,_211,_c9,_top_2,_985,level,lat,lng,province,city,district
1,北京大学,1,0,2,3,3,4,5,3,本科,39.99173,116.30965,北京市,北京市,海淀区
2,中国人民大学,1,0,2,3,3,0,0,3,本科,39.99173,116.30965,北京市,北京市,海淀区
3,清华大学,1,0,2,3,3,4,5,3,本科,40.0036,116.32697,北京市,北京市,海淀区
4,北京交通大学,1,0,2,3,3,0,0,0,本科,39.95092,116.34107,北京市,北京市,海淀区
5,北京工业大学,1,0,2,3,3,0,0,0,本科,39.87385,116.48067,北京市,北京市,朝阳区
6,北京航空航天大学,1,0,2,3,3,0,0,3,本科,39.98421,116.34975,北京市,北京市,海淀区
7,北京理工大学,1,0,2,3,3,0,0,3,本科,39.96091,116.31667,北京市,北京市,海淀区
8,北京科技大学,1,0,2,3,3,0,0,0,本科,39.99135,116.36072,北京市,北京市,海淀区
9,北方工业大学,1,0,2,0,0,0,0,0,本科,39.9289,116.20819,北京市,北京市,石景山区
10,北京化工大学,1,0,2,3,3,0,0,0,本科,39.97069,116.42098,北京市,北京市,朝阳区
11,北京工商大学,1,0,2,0,0,0,0,0,本科,39.9256,116.31492,北京市,北京市,海淀区
12,北京服装学院,1,0,2,0,0,0,0,0,本科,39.97402,116.43062,北京市,北京市,朝阳区
13,北京邮电大学,1,0,2,3,3,0,0,0,本科,39.96337,116.35685,北京市,北京市,海淀区
14,北京印刷学院,1,0,2,0,0,0,0,0,本科,39.74415,116.32903,北京市,北京市,大兴区
15,北京建筑大学,1,0,2,0,0,0,0,0,本科,39.752597,116.285514,北京市,北京市,大兴区
16,北京石油化工学院,1,0,2,0,0,0,0,0,本科,39.7482,116.3264,北京市,北京市,大兴区
17,北京电子科技学院,1,0,2,0,0,0,0,0,本科,39.83686,116.28043,北京市,北京市,丰台区
18,中国农业大学,1,0,2,3,3,0,0,3,本科,40.00494,116.35745,北京市,北京市,海淀区
19,北京农学院,1,0,2,0,0,0,0,0,本科,40.09389,116.30856,北京市,北京市,昌平区
20,北京林业大学,1,0,2,3,3,0,0,0,本科,40.00199,116.34494,北京市,北京市,海淀区
21,北京协和医学院,1,0,2,3,0,0,0,0,本科,39.91115,116.41484,北京市,北京市,东城区
22,首都医科大学,1,0,2,0,0,0,0,0,本科,39.91215,116.35445,北京市,北京市,西城区
23,北京中医药大学,1,0,2,3,3,0,0,0,本科,39.97057,116.42666,北京市,北京市,朝阳区
24,北京师范大学,1,0,2,3,3,0,0,3,本科,39.96168,116.36588,北京市,北京市,海淀区
25,首都师范大学,1,0,2,3,0,0,0,0,本科,39.93069,116.30658,北京市,北京市,海淀区
26,首都体育学院,1,0,2,0,0,0,0,0,本科,39.96999,116.34636,北京市,北京市,海淀区
27,北京外国语大学,1,0,2,3,3,0,0,0,本科,39.95571,116.31306,北京市,北京市,海淀区
28,北京第二外国语学院,1,0,2,0,0,0,0,0,本科,39.91335,116.56345,北京市,北京市,朝阳区
29,北京语言大学,1,0,2,0,0,0,0,0,本科,39.99467,116.34556,北京市,北京市,海淀区
30,中国传媒大学,1,0,2,3,3,0,0,0,本科,39.91293,116.55757,北京市,北京市,朝阳区
31,中央财经大学,1,0,2,3,3,0,0,0,本科,39.95936,116.34216,北京市,北京市,海淀区
32,对外经济贸易大学,1,0,2,3,3,0,0,0,本科,39.97944,116.42888,北京市,北京市,朝阳区
33,北京物资学院,1,0,2,0,0,0,0,0,本科,39.92888,116.63964,北京市,北京市,通州区
34,首都经济贸易大学,1,0,2,0,0,0,0,0,本科,39.8424,116.3167,北京市,北京市,丰台区
35,外交学院,1,0,2,3,0,0,0,0,本科,39.92638,116.34617,北京市,北京市,西城区
36,中国人民公安大学,1,0,2,3,0,0,0,0,本科,39.7657,116.36782,北京市,北京市,大兴区
37,国际关系学院,1,0,2,0,0,0,0,0,本科,40.00385,116.28612,北京市,北京市,海淀区
38,北京体育大学,1,0,2,3,3,0,0,0,本科,40.02251,116.31807,北京市,北京市,海淀区
39,中央音乐学院,1,0,2,3,3,0,0,0,本科,39.90239,116.35794,北京市,北京市,西城区
40,中国音乐学院,1,0,2,3,0,0,0,0,本科,39.9911,116.37956,北京市,北京市,朝阳区
41,中央美术学院,1,0,2,3,0,0,0,0,本科,39.98359,116.46375,北京市,北京市,朝阳区
42,中央戏剧学院,1,0,2,3,0,0,0,0,本科,40.1045,116.3753,北京市,北京市,昌平区
43,中国戏曲学院,1,0,2,0,0,0,0,0,本科,39.86339,116.33272,北京市,北京市,丰台区
