index,单价,小区名字,建筑面积,总价,户型,朝向,楼层,装修
0,17533元/平米,佳兆业君汇上品,128.9平米,226万,3室2厅2卫,西南,高层,精装修
1,14872元/平米,心怡紫晶城,134.48平米,200万,3室2厅2卫,南,低层,精装修
2,18017元/平米,麓山国际麓镇帕萨迪纳,121平米,218万,3室2厅2卫,东,中层,精装修
3,24198元/平米,麓山国际圣安德鲁,343平米,830万,5室3厅4卫,东,高层,豪华装修
4,41009元/平米,麓山国际黑鹰庄园,634平米,2600万,6室3厅6卫,东,高层,精装修
5,26578元/平米,麓山国际翠云岭,301平米,800万,5室3厅4卫,东,高层,毛坯
6,20468元/平米,麓山国际圣安德鲁,342平米,700万,4室3厅4卫,东,高层,毛坯
7,30222元/平米,麓山国际逸翠谷,225平米,680万,4室3厅4卫,东,高层,精装修
8,32164元/平米,麓山国际圣安德鲁,342平米,1100万,5室4厅5卫,南,高层,毛坯
9,26247元/平米,麓山国际圣安德鲁,381平米,1000万,5室4厅5卫,东,高层,豪华装修
10,38877元/平米,麓山国际碧影溪,463平米,1800万,5室4厅5卫,南,高层,精装修
11,36923元/平米,麓山国际长岛,455平米,1680万,6室5厅6卫,东,高层,毛坯
12,15957元/平米,三利宅院白云渡,263.2平米,420万,4室3厅4卫,南,低层,精装修
13,14460元/平米,三利宅院白云渡,275.25平米,398万,4室3厅1卫,南,低层,毛坯
14,34642元/平米,麓山国际橡树坡,433平米,1500万,6室4厅5卫,东,高层,简装修
15,17006元/平米,南湖国际社区,83.5平米,142万,2室2厅1卫,东,高层,精装修
16,16239元/平米,南湖国际社区,117平米,190万,3室2厅2卫,东,低层,毛坯
17,74561元/平米,麓湖生态城云树,1140平米,8500万,7室5厅8卫,南北,中层,毛坯
18,17179元/平米,蜀郡一期,156平米,268万,4室2厅2卫,南北,高层,精装修
19,11417元/平米,和泓半山,254平米,290万,4室3厅4卫,南,低层,毛坯
20,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,南北,低层,毛坯
21,15099元/平米,南湖国际社区,177.5平米,268万,4室2厅3卫,西南,高层,简装修
22,13974元/平米,南湖国际社区二期,156平米,218万,4室2厅3卫,南,低层,毛坯
23,12069元/平米,合能枫丹铂麓,58平米,70万,4室2厅2卫,南北,中层,精装修
25,18667元/平米,恒大名都,75平米,140万,2室2厅1卫,南,中层,简装修
26,15377元/平米,南湖国际社区二期,134.62平米,207万,3室2厅2卫,东,中层,毛坯
27,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,东,低层,毛坯
28,15530元/平米,河畔新世界,132平米,205万,3室2厅1卫,西南,中层,毛坯
29,18333元/平米,双华麓港,72平米,132万,2室1厅1卫,东,高层,毛坯
0,30480元/平米,麓山国际橡树坡,479平米,1460万,5室3厅5卫,南,低层,豪华装修
1,9668元/平米,雅居乐富春山居,331平米,320万,4室2厅4卫,东,低层,毛坯
2,20391元/平米,麓山国际拉佩维尔,179平米,365万,3室2厅2卫,东,中层,豪华装修
3,20000元/平米,麓山国际社区云曦台,150平米,300万,4室2厅3卫,南,中层,毛坯
6,19947元/平米,麓山国际圣安德鲁,376平米,750万,5室3厅5卫,南,低层,毛坯
7,14400元/平米,鑫苑鑫都汇,75平米,108万,3室2厅1卫,南,中层,简装修
8,18719元/平米,成都雅居乐花园别墅,203平米,380万,5室2厅4卫,南,低层,毛坯
9,25263元/平米,万锦城,95平米,240万,5室1厅1卫,南北,高层,毛坯
11,8800元/平米,三都汇朝外,90平米,79.2万,3室1厅1卫,西北,中层,毛坯
12,16667元/平米,麓山国际社区云曦台,99平米,165万,3室2厅2卫,南,中层,毛坯
13,12107元/平米,麓山国际社区茵特拉肯,413平米,500万,7室3厅4卫,南北,高层,毛坯
14,13043元/平米,中铁诺德壹号,115平米,150万,3室2厅2卫,南,中层,毛坯
15,21238元/平米,麓山国际社区茵特拉肯,150.67平米,320万,4室3厅2卫,东南,中层,毛坯
16,10802元/平米,金南园,162平米,175万,4室2厅2卫,南北,高层,精装修
17,13812元/平米,麓山国际圣芭芭拉,362平米,500万,5室3厅4卫,南,低层,简装修
18,15616元/平米,心怡紫晶城,134.48平米,210万,3室2厅2卫,南,低层,精装修
19,15500元/平米,万锦城,100平米,155万,3室3厅2卫,南,中层,毛坯
22,14824元/平米,鑫苑鑫都汇,85平米,126万,3室2厅1卫,南,中层,毛坯
23,17533元/平米,佳兆业君汇上品,128.9平米,226万,3室2厅2卫,西南,高层,精装修
24,14872元/平米,心怡紫晶城,134.48平米,200万,3室2厅2卫,南,低层,精装修
25,18017元/平米,麓山国际麓镇帕萨迪纳,121平米,218万,3室2厅2卫,东,中层,精装修
26,24198元/平米,麓山国际圣安德鲁,343平米,830万,5室3厅4卫,东,高层,豪华装修
27,41009元/平米,麓山国际黑鹰庄园,634平米,2600万,6室3厅6卫,东,高层,精装修
28,26578元/平米,麓山国际翠云岭,301平米,800万,5室3厅4卫,东,高层,毛坯
29,20468元/平米,麓山国际圣安德鲁,342平米,700万,4室3厅4卫,东,高层,毛坯
0,17533元/平米,佳兆业君汇上品,128.9平米,226万,3室2厅2卫,西南,高层,精装修
1,14872元/平米,心怡紫晶城,134.48平米,200万,3室2厅2卫,南,低层,精装修
2,18017元/平米,麓山国际麓镇帕萨迪纳,121平米,218万,3室2厅2卫,东,中层,精装修
3,24198元/平米,麓山国际圣安德鲁,343平米,830万,5室3厅4卫,东,高层,豪华装修
4,41009元/平米,麓山国际黑鹰庄园,634平米,2600万,6室3厅6卫,东,高层,精装修
5,26578元/平米,麓山国际翠云岭,301平米,800万,5室3厅4卫,东,高层,毛坯
6,20468元/平米,麓山国际圣安德鲁,342平米,700万,4室3厅4卫,东,高层,毛坯
7,30222元/平米,麓山国际逸翠谷,225平米,680万,4室3厅4卫,东,高层,精装修
8,32164元/平米,麓山国际圣安德鲁,342平米,1100万,5室4厅5卫,南,高层,毛坯
9,26247元/平米,麓山国际圣安德鲁,381平米,1000万,5室4厅5卫,东,高层,豪华装修
10,38877元/平米,麓山国际碧影溪,463平米,1800万,5室4厅5卫,南,高层,精装修
11,36923元/平米,麓山国际长岛,455平米,1680万,6室5厅6卫,东,高层,毛坯
12,15957元/平米,三利宅院白云渡,263.2平米,420万,4室3厅4卫,南,低层,精装修
13,14460元/平米,三利宅院白云渡,275.25平米,398万,4室3厅1卫,南,低层,毛坯
14,34642元/平米,麓山国际橡树坡,433平米,1500万,6室4厅5卫,东,高层,简装修
15,17006元/平米,南湖国际社区,83.5平米,142万,2室2厅1卫,东,高层,精装修
16,16239元/平米,南湖国际社区,117平米,190万,3室2厅2卫,东,低层,毛坯
17,74561元/平米,麓湖生态城云树,1140平米,8500万,7室5厅8卫,南北,中层,毛坯
18,17179元/平米,蜀郡一期,156平米,268万,4室2厅2卫,南北,高层,精装修
19,11417元/平米,和泓半山,254平米,290万,4室3厅4卫,南,低层,毛坯
20,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,南北,低层,毛坯
21,15099元/平米,南湖国际社区,177.5平米,268万,4室2厅3卫,西南,高层,简装修
22,13974元/平米,南湖国际社区二期,156平米,218万,4室2厅3卫,南,低层,毛坯
23,12069元/平米,合能枫丹铂麓,58平米,70万,4室2厅2卫,南北,中层,精装修
25,18667元/平米,恒大名都,75平米,140万,2室2厅1卫,南,中层,简装修
26,15377元/平米,南湖国际社区二期,134.62平米,207万,3室2厅2卫,东,中层,毛坯
27,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,东,低层,毛坯
28,15530元/平米,河畔新世界,132平米,205万,3室2厅1卫,西南,中层,毛坯
29,18333元/平米,双华麓港,72平米,132万,2室1厅1卫,东,高层,毛坯
0,34642元/平米,麓山国际橡树坡,433平米,1500万,6室4厅5卫,东,高层,简装修
1,17006元/平米,南湖国际社区,83.5平米,142万,2室2厅1卫,东,高层,精装修
2,16239元/平米,南湖国际社区,117平米,190万,3室2厅2卫,东,低层,毛坯
3,74561元/平米,麓湖生态城云树,1140平米,8500万,7室5厅8卫,南北,中层,毛坯
