,单价,小区名字,建筑面积,总价,户型,朝向,楼层,装修
0,14726元/平米,佳兆业君汇上品,146平米,215万,4室2厅2卫,南北,高层,简装修
1,18194元/平米,南湖世纪,72平米,131万,2室2厅1卫,南北,中层,中装修
2,18082元/平米,南湖世纪,73平米,132万,2室2厅1卫,南北,中层,精装修
3,27723元/平米,佳兆业君汇上品,101平米,280万,5室3厅4卫,南北,高层,简装修
4,12340元/平米,南湖国际社区二期,235平米,290万,4室2厅3卫,南,高层,简装修
5,12596元/平米,"南湖国际社区三期,南湖国际社区四期",235平米,296万,4室3厅3卫,南北,高层,毛坯
6,16000元/平米,天府美岸,100平米,160万,3室2厅2卫,南北,中层,毛坯
7,17045元/平米,瑞升橡树林华府,88平米,150万,3室2厅2卫,南,高层,精装修
8,17304元/平米,佳兆业君汇上品,115平米,199万,3室2厅2卫,西,中层,简装修
9,17204元/平米,洛森堡新殿,93平米,160万,4室2厅1卫,南北,高层,精装修
10,17204元/平米,洛森堡新殿,93平米,160万,4室2厅2卫,西南,高层,精装修
11,17204元/平米,洛森堡新殿,93平米,160万,3室2厅2卫,南,高层,豪华装修
12,15972元/平米,南湖世纪,72平米,115万,2室2厅1卫,南北,高层,毛坯
13,16389元/平米,南湖世纪,72平米,118万,2室2厅1卫,南北,高层,毛坯
14,15077元/平米,南湖国际社区二期,130平米,196万,3室2厅2卫,南,低层,毛坯
15,14935元/平米,南湖国际社区二期,77平米,115万,2室2厅1卫,西,低层,精装修
16,15686元/平米,南湖国际社区二期,76.5平米,120万,2室2厅1卫,西,低层,精装修
17,15128元/平米,南湖国际社区二期,78平米,118万,2室2厅1卫,南北,低层,精装修
18,16753元/平米,南湖国际社区一期,77平米,129万,2室2厅1卫,南北,中层,精装修
19,15476元/平米,南湖国际社区二期,84平米,130万,2室2厅1卫,南北,高层,毛坯
20,16055元/平米,心怡紫晶城,130.8平米,210万,3室2厅2卫,东西,低层,精装修
21,18200元/平米,麓山国际麓镇帕萨迪纳,100平米,182万,2室2厅1卫,南,高层,豪华装修
22,9697元/平米,雅居乐富春山居,330平米,320万,4室2厅4卫,东,低层,毛坯
23,9574元/平米,三都汇朝外,47平米,45万,1室1厅1卫,南北,中层,毛坯
24,11915元/平米,南湖国际社区二期,235平米,280万,4室2厅3卫,南北,中层,简装修
25,19277元/平米,成都雅居乐花园别墅,166平米,320万,4室2厅4卫,暂无,低层,简装修
26,27596元/平米,建发浅水湾,674平米,1860万,8室5厅3卫,南,低层,毛坯
27,15031元/平米,华阳滨河花园,163平米,245万,3室2厅2卫,暂无,中层,精装修
28,20661元/平米,原乡,242平米,500万,4室2厅2卫,暂无,低层,简装修
29,17130元/平米,成都玩家,108平米,185万,3室2厅2卫,南北,低层,简装修
0,17538元/平米,佳兆业君汇上品,130平米,228万,3室2厅2卫,南北,高层,精装修
1,18396元/平米,佳兆业君汇上品,106平米,195万,3室2厅2卫,南北,高层,精装修
2,17538元/平米,南湖国际社区二期,130平米,228万,3室2厅2卫,南北,低层,豪华装修
3,17812元/平米,南湖国际社区二期,128平米,228万,3室2厅2卫,南北,低层,豪华装修
4,14145元/平米,"南湖国际社区三期,南湖国际社区四期",152平米,215万,4室2厅2卫,南北,高层,毛坯
5,16296元/平米,"南湖国际社区三期,南湖国际社区四期",121.5平米,198万,3室2厅2卫,南北,低层,精装修
6,11579元/平米,融创Nano公馆,57平米,66万,1室1厅1卫,南北,中层,豪华装修
7,12650元/平米,"南湖国际社区三期,南湖国际社区四期",234平米,296万,4室3厅2卫,南北,高层,简装修
8,12901元/平米,"南湖国际社区三期,南湖国际社区四期",131平米,169万,4室2厅2卫,南北,高层,毛坯
9,13387元/平米,家益庭园,124平米,166万,3室2厅2卫,南北,低层,精装修
10,11570元/平米,华阳花苑,223平米,258万,4室2厅4卫,南北,高层,毛坯
11,10211元/平米,楠域丽景,142平米,145万,3室2厅2卫,南北,高层,毛坯
12,18774元/平米,佳兆业君汇上品,106平米,199万,3室2厅2卫,南北,低层,精装修
13,21417元/平米,南湖国际社区二期,156.42平米,335万,4室3厅3卫,南北,低层,豪华装修
14,19658元/平米,南湖国际社区二期,117平米,230万,3室2厅2卫,南北,中层,豪华装修
15,15929元/平米,南湖世纪,113平米,180万,3室2厅2卫,南北,中层,精装修
16,16393元/平米,南湖国际社区二期,122平米,200万,3室2厅2卫,南北,中层,精装修
17,16590元/平米,佳兆业君汇上品,108.5平米,180万,3室2厅2卫,南北,中层,精装修
18,16154元/平米,佳兆业君汇上品,130平米,210万,3室2厅2卫,南北,中层,精装修
19,14726元/平米,佳兆业君汇上品,146平米,215万,4室2厅2卫,南北,高层,简装修
20,18194元/平米,南湖世纪,72平米,131万,2室2厅1卫,南北,中层,中装修
21,18082元/平米,南湖世纪,73平米,132万,2室2厅1卫,南北,中层,精装修
22,27723元/平米,佳兆业君汇上品,101平米,280万,5室3厅4卫,南北,高层,简装修
